"","score","PA","AB","R","H","X1B","X2B","X3B","HR","RBI","BB","IBB","uBB","SO","HBP","SH","SF","GDP","SB","CS","avg","obp","slg","OPS","OBA","rpG","rpGS","rpIP","rpH","rpR","rpER","rpuBB","rpBB","rpSO","rpHR","rpHBP","rpAB","rpX1B","rpX2B","rpX3B","rpIBB","rpGDP","rpSF","rpSB","rpCS","rpPO","rpBF","rpPit","rpfip","rpera","rpwhip","rpkperc","spG.1","spGS.1","spIP.1","spH.1","spR.1","spER.1","spuBB.1","spBB.1","spSO.1","spHR.1","spHBP.1","spERA.1","spAB.1","spX1B.1","spX2B.1","spX3B.1","spIBB.1","spGDP.1","spSF.1","spSB.1","spCS.1","spPO.1","spBF.1","spPit.1","spStr.1","spStL.1","spStS.1","spGB.FB.1","spLD.1","spPU.1","spWHIP.1","spBAbip.1","spSO9.1","spSO.W.1","spSO_perc.1","spuBB_perc.1","spSO_uBB.1","spfip.1","rpslg","spslg.1"
"score",1,0.0160412070194699,0.0109334072573427,0.0459044575013596,0.0182100927672726,-0.00441983171117032,0.0267935041528457,-0.010166744166667,0.0474625999362717,0.0457767980103295,0.032707637938959,-0.00935407001837507,0.0361556794528592,0.0095865644238174,0.00810613887507107,-0.0178796326068671,0.00852551907254808,-0.00784890104240671,-0.00648986181953459,-0.0140444003415016,0.0197543948164526,0.03167758226586,0.0449638584757813,0.0429427516486133,0.043369071526762,0.0575070336812482,NA,0.0727877002229732,0.0885559950662685,0.0929808409498715,0.0926371150196653,0.0805071238840344,0.0828388966744654,0.0447397695885182,0.0749243965653914,0.036823945245876,0.0779616308799967,0.0776134163802096,0.0693546176537579,0.0190402468375058,0.0395564020184908,0.0567180238860777,0.0417844805853062,0.0320733025601712,0.0225705121885716,0.0243909523651757,0.0814795829303042,0.0798185999412197,0.0684971147671339,0.0687911605183242,0.0612956760474714,-0.0310919173359708,0.0168122722894551,0.00624150682672417,-0.0183436630812043,0.0322819649620016,0.0471904485266975,0.0431131713646377,0.0346215644871863,0.0376529421199419,-0.0645161995787565,0.0371585817676678,0.00424226404651656,0.0367978598008088,-0.00757974947267682,0.0128967564146687,0.0384418223475905,0.0258934253290937,0.0254918120782778,0.0117049272587628,0.0320002624295475,-0.00130814585265111,0.0166983948124041,0.00702848942390071,-0.00106290545644613,-0.00484428313400779,-0.0613809104205377,-0.0226395939236048,-0.0710372233302486,-0.0296346526164806,0.0198333062012301,-0.00677176086658295,0.0519933100146606,0.0222841264667929,-0.0809266174617234,-0.0604662075397037,-0.0928457823642738,0.0320515827331536,NA,0.0507588792345036,0.0658083856016677,0.0664851319683231
"PA",0.0160412070194699,1,0.97785122947482,0.600830926885682,0.779408259931204,0.672641205143175,0.475960255792048,0.169791250546974,0.345132193407778,0.594313784795883,0.564546784914891,0.27978139596518,0.536264915928748,0.52431205234991,0.211522664714412,0.171222683596487,0.250794700343685,0.243126900799683,0.216981380676309,0.125832765105829,0.23875037806849,0.300404024441139,0.189326331685998,0.240887961428756,0.246616906304966,0.217204475788997,NA,0.198228795093067,0.173263829452141,0.151792893983028,0.149347701958804,0.152396143288038,0.158993326092698,0.172350933694436,0.132860845522835,0.0622166540995891,0.200294925879823,0.166899138832856,0.100287674554365,0.0610658865722948,0.0852066257292788,0.0823845394845823,0.0692741921062531,0.0756317379615099,0.0376043786982378,0.0194038089670214,0.199814792661138,0.189987205357777,0.0496906741886059,0.0459882392978688,0.0298508679227684,0.00925295126240351,0.10580680486821,0.0875713636118934,0.0713254468475683,0.0681199547482138,0.0632673977674548,0.0653701858253653,0.0544059003525464,0.0565754697078977,0.058163539267034,0.0519303894245844,0.0109208557728568,0.0107976544526037,0.0753054100655187,0.0591189178872266,0.041875356714712,0.0022967099595675,0.0231821993088892,0.0135642024458061,0.0172349711513442,0.03351065404292,0.0341521091325521,0.0227022790191919,0.0777065832422526,0.079711361243151,-0.0110245854664423,0.0143276987990368,-0.00498834690132798,-0.0108236632577346,-0.00409193808243352,-0.00285717938989758,0.00483402653890801,0.00337969136675137,0.0164216554826749,-0.0207148541071073,0.0107259227190448,0.0082426622012983,NA,0.00344144133945155,0.039057551758378,0.00351569511315039
"AB",0.0109334072573427,0.97785122947482,1,0.546636116694311,0.787189500474383,0.700300889427915,0.460738638646832,0.178242851367053,0.314332067646162,0.540904212873067,0.39322776124634,0.223634898248093,0.367806416690593,0.513377946129348,0.143309976568777,0.120776235068003,0.190605402932225,0.234753181136373,0.191970112199216,0.120662495717083,0.227926944660243,0.19142154284028,0.15356215791305,0.176596391834637,0.174960622446062,0.192305417794326,NA,0.172430867798204,0.150167527209915,0.12627330183531,0.124009793926156,0.118853417095502,0.125207830879888,0.148693170148596,0.110296793048163,0.0470614001231255,0.174586492246704,0.147213548051615,0.0833136101224154,0.0560689420128664,0.0721732001878588,0.0688208033335089,0.0544040733151298,0.0654231788185793,0.0355470470398109,0.017828701065708,0.17197733351758,0.161573219269167,0.0309083552511561,0.0313550330112313,0.0140515678105226,0.00425647293137447,0.089725331554982,0.0723670360797256,0.0616065140668747,0.0606127700783438,0.0527352607102462,0.0559030937133523,0.0383188946251968,0.0398063112230126,0.0484639610229072,0.0457772820723218,0.00294554250701835,0.00743626332755145,0.0657143744706637,0.054265350646149,0.0340269883047045,0.00092085871623955,0.0160631477364252,0.00966608848962368,0.0161337387480161,0.0228181592037927,0.02911309302341,0.0156169313301127,0.0662713079310495,0.0668244812014199,-0.0024355396691653,0.0143912567653431,-0.00442592522286097,-0.0077299860761936,-0.00134510320365205,-0.00237200032837012,0.000785897967171765,0.00261972705569219,0.00978448900832943,-0.0146668636898136,0.00652303789158074,-0.00168166073629649,NA,0.0000202483122457631,0.0273892505291041,0.0020733529406428
"R",0.0459044575013596,0.600830926885682,0.546636116694311,1,0.791854448505786,0.533772642501403,0.566992288591005,0.172692300916453,0.643105464282948,0.990101574414674,0.488663387350252,0.180083573432017,0.4765377924586,0.186162975874023,0.180090950209432,0.0300421916351291,0.33243842172345,0.0833527448084819,0.16457648863679,-0.00966108276213369,0.691850319737121,0.739309548857173,0.772915491296445,0.808229301759143,0.807614372412977,0.22168838830193,NA,0.226212329759965,0.219126231600406,0.200332985162197,0.19642477153235,0.174798874215921,0.177251953297574,0.206639977221507,0.176327903115203,0.0801383749881427,0.235250221306628,0.204930742712116,0.14378417009783,0.0503929649445328,0.0735400103290987,0.110501720175834,0.0846700955515983,0.101320824497699,0.000171624775479938,0.0116649553247325,0.23378788922629,0.22691772480777,0.0784137927414058,0.0923804781748342,0.0708779462183839,0.0130754421676062,0.120245191609687,0.107531388935221,0.0797400927574806,0.092004156118241,0.0942101307310238,0.0953656839947987,0.0824459167102612,0.0826171119415459,0.0605844297926951,0.0820865099196564,0.0269642195558528,0.0280176714693766,0.0895642909119169,0.0698893488948141,0.0707217011264351,0.00213768123596409,0.0148540816355252,0.0218879523881034,0.00865514819935904,0.0244749882172365,0.0150948227486036,0.0393000469903407,0.0936998259082249,0.0980255103309366,-0.026761286469653,-0.0122340289027232,-0.00181642209802693,-0.0193809355211704,-0.0276436715073317,0.00648163507516161,0.0244545308566984,0.0117884411963809,0.0126248051855008,-0.0297301165935226,0.000501137440483501,0.0277970977704551,NA,0.0249986020739542,0.0867312716758468,0.0346962091407798
"H",0.0182100927672726,0.779408259931204,0.787189500474383,0.791854448505786,1,0.881310234649525,0.616004992083216,0.249821177413276,0.379097424878373,0.786147075970502,0.318909648405557,0.229413290786018,0.288733045108618,0.196140484038451,0.118728198893709,0.132337088783183,0.311179390809795,0.258453505305375,0.182179006897026,0.0788482047169943,0.776656721403757,0.66493881846588,0.583234399384924,0.648388740334084,0.647995016904952,0.153364747668029,NA,0.149129736083873,0.156575290201682,0.131740076624471,0.127652233075194,0.103601748049091,0.108118825942912,0.126696773616393,0.10296856806457,0.0300582950699557,0.158733699417734,0.155025712721834,0.0971524500025724,0.0441026256750187,0.0580773364486173,0.0698808096269656,0.0573176014826943,0.0781875735405628,0.00111231400152108,0.01555089015472,0.155772040724209,0.144081475804464,0.0324692584907818,0.0554284911938583,0.0483430938943138,-0.0123657608372325,0.0745020290035874,0.0598155566383196,0.0487734200251832,0.06169777651424,0.0579859694929465,0.0600497785918529,0.0316810190175566,0.0328309555571523,0.0298057644339248,0.0429683654942199,0.00722012380247772,0.0172915298179903,0.0557417581150743,0.053877600669015,0.0398385782540713,0.00388656956936736,0.0127612788073713,0.00367591407495391,0.0119842319122546,0.0178345568573501,0.0247044618924746,0.0240294203239761,0.0563375128745119,0.054954997725581,-0.00310912831565694,-0.00402276463048794,-0.0138367698629739,-0.00702231641862827,-0.0100133778853377,-0.000408822927202599,0.0120167912438934,0.0119898622477543,-0.00530569452610177,-0.0133620972352156,-0.0109172320446996,-0.00365340488869355,NA,0.00917647364518812,0.0548459668875821,0.0169444316326311
"X1B",-0.00441983171117032,0.672641205143175,0.700300889427915,0.533772642501403,0.881310234649525,1,0.300799871710745,0.177017199410622,0.0404454228604379,0.523170306271116,0.170174107282702,0.195777709628516,0.139474465679775,0.0918034265829996,0.0711693153003647,0.19941551230908,0.276495006856012,0.316576199175998,0.194383994865724,0.115999632137399,0.677677522295426,0.517410519605184,0.242212386401082,0.356045786500943,0.368773938157186,0.0670713662315905,NA,0.0497293458945459,0.0689568290618907,0.05316037805531,0.0481018119772141,0.0284262815718897,0.0342149709267981,0.0327050990786672,0.0181925602704769,-0.0161336631668615,0.0579482090858991,0.0805862285768315,0.0315510283909374,0.0246166168920243,0.0374565150810576,0.028458802654612,0.0309662726016647,0.0428047603070541,-0.0114899485151129,0.00369683298345499,0.0558790238410591,0.0435096517810133,-0.00876631037100808,0.0226625867478081,0.0286614706068871,-0.028857932498218,0.0169067052629865,0.00794175209074683,0.0124811655998435,0.0190213579852782,0.00917110458522887,0.0119521768444407,-0.00948442828965348,-0.00742730059452762,-0.00216822997856675,-0.0057415095111734,-0.0105624191612697,0.00252134879203866,0.0141642559498617,0.0278631344750978,0.0032354593055577,-0.00727483839725586,0.0118028066936383,-0.00869909465554529,0.00975489076508687,0.0164925827876978,0.0276820409200849,0.0115067674812267,0.0125754504651189,0.00753568112002998,0.00689254484537257,-0.00249714417988848,-0.0208098082598889,0.00672845229921734,0.0042412583013585,-0.0136073394813569,0.000151772445548723,0.00875879658504304,-0.0188308020444651,0.0012830649820684,-0.0169067467956284,-0.0224556337660392,NA,-0.00598674905479991,0.0155593203894311,-0.00606064106624021
"X2B",0.0267935041528457,0.475960255792048,0.460738638646832,0.566992288591005,0.616004992083216,0.300799871710745,1,0.113936747098884,0.191753907134971,0.565218284502952,0.291177819193112,0.213368486592143,0.262848395029283,0.109462174510897,0.0676368436843635,0.0415859660255061,0.202435444081834,0.085082136462336,0.0854867154897306,0.00596650302565362,0.503804173791471,0.483227876543538,0.498108126899413,0.523303767109897,0.513130625652658,0.0979055355712944,NA,0.111363075793181,0.115206738678922,0.0947893062767473,0.0924669450988976,0.0690187257740202,0.0708158428774986,0.09358098667392,0.0770967622563176,0.0178811527916013,0.118104245073636,0.101789450517931,0.1038591196134,0.0309329331700358,0.0329565129637536,0.0366532578636237,0.0350055054473106,0.054460059364149,0.00923799953288829,0.0249931829357287,0.114227171616315,0.108349939524585,0.0254272229965506,0.0408050021397013,0.0285758397080537,-0.00819453600521157,0.0664367226901451,0.0553707486875954,0.0393149636075269,0.0547964090658844,0.057534740512902,0.0599215277905653,0.0354464558218716,0.0352235471626148,0.0295567878935894,0.0413103884339223,0.016615917746409,0.0166004815380935,0.0473862762882781,0.0402818080415976,0.0463701748765954,0.0186787627635644,0.00445722745065346,0.00694661247242999,-0.00262175438148206,0.0102136986907409,0.0152731033903024,0.0315402322604802,0.0486124763982203,0.0490478223134447,-0.00186024320353088,0.00463012331158891,-0.00117343730467593,-0.0102186269592411,-0.012422514949196,0.0140488104559607,0.00978494041418528,0.0158760545184464,0.0100571421693223,-0.0194817752747779,0.000195573433720847,0.00748472149898454,NA,0.00210151144598621,0.0504686555894474,0.0191414535515218
"X3B",-0.010166744166667,0.169791250546974,0.178242851367053,0.172692300916453,0.249821177413276,0.177017199410622,0.113936747098884,1,-0.0742517822207831,0.166919812241746,0.0137068182892839,0.110090760549097,-0.00753387178923353,0.0186362614830411,0.017886997200555,0.122236190311513,0.117087277176828,-0.013304048416999,0.131338851450804,0.121353852795341,0.209976762295685,0.146276610908231,0.179592975809555,0.178624161448304,0.161043023542971,0.0113920032768913,NA,-0.00872316968967126,0.00399721577477528,0.00117276178541121,-0.00237903707872452,0.00549050269478358,0.00969970270023852,-0.0285336260025681,-0.0242287462832201,-0.00937121720768024,-0.00627819544004078,0.00925447767751419,-0.0120735229803185,0.0845583098921957,0.0218577825612865,0.00364075872474313,0.00661888886559858,0.0309450663223351,-0.0122714832594577,0.00717281674793243,-0.00355058114926588,-0.0105733842193997,-0.00438984258832077,-0.00459668974163505,0.0161977246302026,-0.0378397735555265,-0.0136388900618136,-0.0186890719789418,-0.0153908931368719,-0.0102261339206385,-0.0022725817009395,0.000638303032782529,-0.00487019187767051,-0.00176467782026114,-0.0163790024120713,-0.0165839519616144,-0.015004382377483,0.00569806104951151,-0.0162481492334781,-0.00741886244949572,-0.0120227523272509,0.0328780286535271,0.0193925041929851,-0.00577918379572134,0.0104310302662215,0.00565937963908726,-0.00833496265127209,0.0071112112841077,-0.0144166490165688,-0.0172733001750264,-0.000945814423634352,-0.00678140779908308,-0.0110666563239756,0.0210065285389511,0.00156299527673583,-0.0198338398739644,-0.000282909887254593,-0.00485372870591559,-0.00431838199594353,-0.007050543854375,-0.00443717427093505,0.00351080706698398,NA,-0.00324004972012656,0.00132983246752283,-0.00453286044233273
"HR",0.0474625999362717,0.345132193407778,0.314332067646162,0.643105464282948,0.379097424878373,0.0404454228604379,0.191753907134971,-0.0742517822207831,1,0.654822737238753,0.324606095593005,0.00671910995061596,0.339017146547039,0.304922676383281,0.14082511361297,-0.14921524562806,0.0869370968922563,-0.0220087069124547,-0.0180774355610053,-0.0779201103364656,0.278707226460272,0.354536535906764,0.75473946053207,0.65708639083071,0.640270639761744,0.238175921611069,NA,0.260513831318844,0.227944773470357,0.207331338444783,0.210171463390497,0.201779597992251,0.198871137285163,0.254184223848498,0.227297439385041,0.127137923610389,0.263868560157205,0.20568531068011,0.13997821630242,0.0237999013715077,0.0577361854448748,0.123115078426633,0.0748087758517124,0.0857442862224627,0.0273871279774427,0.0136207463836898,0.262400659283712,0.263235374327078,0.106505589912268,0.0872230018678049,0.053952324736356,0.0539413348149676,0.141918771622934,0.128830904006443,0.0960654070260914,0.104536051995771,0.111455442510805,0.107731477842589,0.0949215670902386,0.0927261918993578,0.0801873761758972,0.121295936818713,0.0386495399145754,0.0321926209396558,0.106911187102564,0.0701728678353463,0.0805821872568157,0.000161604014419826,0.00153658386596639,0.0291966580180122,0.014946023838312,0.00520203667518708,-0.000841005724078514,0.0152780366287519,0.11103851623004,0.119770890304322,-0.0258661987138258,-0.00996371660555184,0.0114489786062481,-0.0371893958403434,-0.0318688573190079,0.0250148975158271,0.0298438426854078,0.00263484741529804,0.0207794407926335,-0.0249981986849057,0.00758198317620392,0.0357824408041052,NA,0.0453215842646593,0.0908804366415769,0.0537650617454604
"RBI",0.0457767980103295,0.594313784795883,0.540904212873067,0.990101574414674,0.786147075970502,0.523170306271116,0.565218284502952,0.166919812241746,0.654822737238753,1,0.483389898204645,0.174418840086677,0.472135622821739,0.182258619514031,0.175817170984829,0.0260680135414087,0.331057857389897,0.0743746932115097,0.143500635864057,-0.0156051877360024,0.689093318035959,0.735035296337155,0.780418560523761,0.811956619401386,0.810616140382153,0.223961795059673,NA,0.22893389129277,0.221241343597456,0.200828190395781,0.198034154305458,0.175795181232772,0.17824506180861,0.208261750771173,0.179118326152875,0.0827843943588426,0.23770051997883,0.206698905148542,0.145419310597539,0.0486724400530546,0.0738778938394827,0.113807216378826,0.0834157621986861,0.100131222095983,-0.000191811652669497,0.0095991071623039,0.236154592501673,0.229145517010985,0.0803832793397764,0.0926400837131755,0.0703548789704632,0.0128022242399842,0.122921526324854,0.109830415836075,0.0816645835891074,0.0944576023310432,0.0969042917785157,0.0980864223296377,0.0827382283492633,0.0827294131053217,0.0609988983068528,0.0850233927781445,0.0278279393488681,0.0288087981427762,0.0917828874742477,0.0707941173093415,0.0738930770907978,0.00352195099937272,0.0137316677515007,0.0244439068240931,0.00697934853368561,0.0218199050024342,0.013990760449179,0.0384810950929243,0.0957561885357149,0.0999782515606526,-0.0266089169366166,-0.010916675467412,-0.00330506812106417,-0.0189842931362967,-0.0260863433109648,0.00592060775250627,0.0247489132416717,0.0111046899384726,0.0109622550528069,-0.0317953217337694,-0.00131659073903822,0.0273556324905828,NA,0.0266005916026235,0.0877556462363209,0.0368197511238439
